Total pages: 5625, already done: 200, remaining: 5425, names so far: 1126
Progress: 100 pages processed, 2008 names, 5s, 20 pages/s
Progress: 200 pages processed, 2197 names, 10s, 20 pages/s
Progress: 300 pages processed, 3096 names, 15s, 20 pages/s
Progress: 400 pages processed, 3948 names, 19s, 21 pages/s
Progress: 500 pages processed, 4905 names, 24s, 21 pages/s
Progress: 600 pages processed, 5822 names, 28s, 21 pages/s
Progress: 700 pages processed, 6738 names, 33s, 21 pages/s
Progress: 800 pages processed, 7791 names, 37s, 22 pages/s
Progress: 900 pages processed, 8566 names, 42s, 21 pages/s
Progress: 1000 pages processed, 9481 names, 47s, 21 pages/s
Progress: 1100 pages processed, 10393 names, 52s, 21 pages/s
Progress: 1200 pages processed, 11262 names, 56s, 21 pages/s
Progress: 1300 pages processed, 12190 names, 61s, 21 pages/s
Progress: 1400 pages processed, 12792 names, 66s, 21 pages/s
Progress: 1500 pages processed, 13402 names, 70s, 21 pages/s
Progress: 1600 pages processed, 13505 names, 75s, 21 pages/s
Progress: 1700 pages processed, 13897 names, 80s, 21 pages/s
Progress: 1800 pages processed, 14293 names, 85s, 21 pages/s
Progress: 1900 pages processed, 14851 names, 91s, 21 pages/s
Progress: 2000 pages processed, 15663 names, 97s, 21 pages/s
Progress: 2100 pages processed, 16290 names, 103s, 20 pages/s
Progress: 2200 pages processed, 17211 names, 110s, 20 pages/s
Progress: 2300 pages processed, 17971 names, 116s, 20 pages/s
Progress: 2400 pages processed, 18776 names, 122s, 20 pages/s
Progress: 2500 pages processed, 19150 names, 127s, 20 pages/s
Progress: 2600 pages processed, 19757 names, 133s, 20 pages/s
Progress: 2700 pages processed, 20442 names, 138s, 20 pages/s
Progress: 2800 pages processed, 21258 names, 144s, 19 pages/s
Progress: 2900 pages processed, 22067 names, 150s, 19 pages/s
Progress: 3000 pages processed, 22820 names, 156s, 19 pages/s
Progress: 3100 pages processed, 23569 names, 162s, 19 pages/s
Progress: 3200 pages processed, 24485 names, 168s, 19 pages/s
Progress: 3300 pages processed, 25203 names, 174s, 19 pages/s
Progress: 3400 pages processed, 25754 names, 180s, 19 pages/s
Progress: 3500 pages processed, 26286 names, 186s, 19 pages/s
Progress: 3600 pages processed, 27034 names, 192s, 19 pages/s
Progress: 3700 pages processed, 28091 names, 197s, 19 pages/s
Progress: 3800 pages processed, 29056 names, 203s, 19 pages/s
Progress: 3900 pages processed, 29807 names, 208s, 19 pages/s
Progress: 4000 pages processed, 30794 names, 214s, 19 pages/s
Progress: 4100 pages processed, 31510 names, 221s, 19 pages/s
Progress: 4200 pages processed, 32135 names, 228s, 18 pages/s
Progress: 4300 pages processed, 32781 names, 235s, 18 pages/s
Progress: 4400 pages processed, 33657 names, 242s, 18 pages/s
Progress: 4500 pages processed, 34565 names, 248s, 18 pages/s
Progress: 4600 pages processed, 35274 names, 254s, 18 pages/s
Progress: 4700 pages processed, 36068 names, 260s, 18 pages/s
Progress: 4800 pages processed, 36568 names, 266s, 18 pages/s
Progress: 4900 pages processed, 37356 names, 272s, 18 pages/s
Progress: 5000 pages processed, 38015 names, 277s, 18 pages/s
Progress: 5100 pages processed, 38856 names, 283s, 18 pages/s
Progress: 5200 pages processed, 39446 names, 290s, 18 pages/s
Progress: 5300 pages processed, 40426 names, 296s, 18 pages/s
Progress: 5400 pages processed, 40889 names, 303s, 18 pages/s
DONE in 305s. Pages: 5625/5625. Unique names: 40895. Wrote C:\TimeToCode\Flavorum\src\data\flavors.js
